,text,name
Q10125,"Andrew Barron ""Andy"" Murray  (born 15 May 1987) is a Scottish professional tennis player, ranked World No. 6. He has been ranked as British number 1 since 27 February 2006. He achieved a top-10 rankin",Andy Murray
Q1012851,"Wang Song (; born 12 October 1983) is a Chinese footballer who currently plays for Guangzhou R&F in the Chinese Super League.

Club career
Wang Song began his football career playing for Sichuan Quanx",Wang Song
Q10132,"Rafael ""Rafa"" Nadal Parera (, ; born 3 June 1986) is a Spanish professional tennis player currently ranked world No. 3.http://www.atpworldtour.com/Rankings/Singles.aspx He is widely regarded as the fi",Rafael Nadal
Q1013707,"Mário Brandão da Silveira, or simply Marlon (born 26 January 1987), is a Brazilian striker.

Marlon previously played for Thespa Kusatsu in the J. League Division 2.

Club career statistics
{| class=""",Mário Brandão da Silveira
Q1014407,"Jed Carlson Lowrie (born April 17, 1984) is an American professional baseball infielder for the Houston Astros of Major League Baseball (MLB). In addition to the Astros, Lowrie has played in MLB for t",Jed Lowrie
Q1015307,"Aboubakar Oumarou (born 4 January 1987) is a Cameroonian footballer who plays for Waasland-Beveren. He is most often deployed as a forward. Having started his professional career in China, he has play",Aboubakar Oumarou
Q1015429,"Xu Yuan (; born November 17, 1985 in Chongqing) is a female Chinese football (soccer) striker who competed in the 2008 Summer Olympics. Xu plays in the forward position. She was expected to be the nex",Xu Yuan (footballer)
Q1015448,"Yuan Weiwei (; born November 25, 1985 in Tianjin) is a Chinese footballer who plays for Tianjin Teda in the Chinese Super League. 

Club career
He started his professional career at Shandong Luneng pl",Yuan Weiwei
Q1015531,Ludmila Manicler (born 6 July 1987 in San Pedro) is a women's football player from Argentina currently playing for Boca Juniors and Argentina national team. She's 163 cm tall and has a weight of 48.40,Ludmila Manicler
Q1015549,"Tan Wangsong (; born December 19, 1985 in Chengdu, Sichuan) is a Chinese footballer who is a fullback for Henan Construction.

Club career
Tan Wangsong would start his career with Sichuan Guancheng wh",Tan Wangsong
Q1015620,"Yin Lianchi (born January 12, 1984)  in Guangzhou, Guangdong) is a Chinese épée fencer, who competed at the 2008 Summer Olympics and performed his personal best with the 4th épée team.

Major performa",Yin Lianchi
Q1015876," is a Japanese actor, who began his acting career as Renn Kōsaka/Go-On Blue in the 2008 tokusatsu series Engine Sentai Go-onger.  He is currently featured in television advertisements for Takara Tomy'",Shinwa Kataoka
Q1017050,"[[File:Chris Carter - Pawtucket Red Sox.jpg|220px|thumb|Carter batting for the Pawtucket Red Sox, Triple-A affiliates of the Boston Red Sox, in .]]
William Christopher ""Chris"" Carter (born September 1",Chris Carter (left-handed hitter)
Q1017352,"Rocco Dan Baldelli (; born September 25, 1981) is a former Major League Baseball outfielder and designated hitter. Because of his excellent size and speed, and in reference to his hometown, he was nic",Rocco Baldelli
Q1018716, is a Japanese actor from Osaka Prefecture. His first major role was as Tsubasa Yamagatana/Dan the Knight of the White Night in Garo Special: Byakuya no Maju. Yamamoto later portrayed Seiji Hayami in ,Shouma Yamamoto
Q1018752,"Shen He (born 7 May 1981), better known by his stage name Xiaoshenyang (), is a Chinese actor. He was a student of Zhao Benshan and was an errenzhuan performer before joining the film and television i",Xiaoshenyang
Q102098,"Moon Geun-young (born May 6, 1987) is a South Korean actress. Affectionately called ""the nation's little sister,"" Moon began modeling at the age of 12, then made her acting debut in 1999 as a child ac",Moon Geun-young
Q1021909,"Bruna Tenório (born June 27, 1989) is a Brazilian (Maceió, Alagoas) model of European and Indigenous Brazilian ancestry.

Biography
Bruna Tenório started her career in 2006 when she walked the runway ",Bruna Tenório
Q1021999," is a Japanese gravure idol, tarento artist and actress currently affiliated to the A-Team Entertainment Production Agency.

 Career 

April 2004 - Graduates Sendai Vocational School and moves to the ",Yuriko Shiratori
Q1022015," (born December 28, 1986, in Osaka Prefecture, Japan) is the female lead singer of Jyukai, a Japanese pop/soft rock group.

 Biography 
At an early age, she aspired to be a singer. While she was an el",Manami Watanabe
Q1022017,", born on July 9, 1987 in Nagano Prefecture, is a Japanese actor, songwriter, singer, dancer and model. He is best known for his roles as Shusuke Fuji of the fourth generation Seigaku cast in The Prin",Yūta Furukawa
Q1022020," is a Japanese actor, best known for the role of Takeshi Momoshiro of the fourth generation Seigaku cast in The Prince of Tennis musical series, Tenimyu. Makita is affiliated with the acting unit D-BO",Tetsuya Makita
Q1022039," is a Japanese hip-hop musician and songwriter. He is best known for his collaborations with singer Thelma Aoyama, ""Koko ni Iru yo"" and ""Soba ni Iru ne"" - the latter of which was the former Guinness W",SoulJa
Q1022508,"Calvin Andre ""C. J."" Miles, Jr. (born March 18, 1987) is an American professional basketball player who currently plays for the Indiana Pacers of the NBA. A native of Dallas, Miles was drafted in 2005",C. J. Miles
Q1022566,"Alda Risma（），本名Alda Risma Elfariani，印尼已故知名女歌手。

Alda Risma因《Aku Tak Biasa》一曲而成名。2006年12月在雅加達Disebuah酒店逝世，疑似因打入過多毒品死亡。

 演藝事業 
1998年Alda Risma發行第一張個人專輯Aku Tak Biasa，這張專輯讓她在印尼演藝界急速成名。但後來她與唱片公司相處不愉快，她本身又",Alda Risma
Q1026942,"Joel Martin Zumaya (born November 9, 1984) is an American former professional baseball pitcher. He pitched in Major League Baseball for the Detroit Tigers from 2006 through 2010. He is known for his r",Joel Zumaya
Q1026978,"Jean-Paul Ndeki (born 27 October 1982 in Cameroon) is a footballer who last plays for Al-Quwa Al-Jawiya.

His brother, Edouard Oum Ndeki, was a professional footballer who played in Turkey and Greece.",Jean-Paul Ndeki
Q10270,"Jarkko Kalervo Nieminen (born July 23, 1981) is a Finnish professional tennis player and, as of June 2014, he is the highest ranked Finnish tennis player.

His highest ranking is World No. 13, achieve",Jarkko Nieminen
Q10271178,"崔亮（），籍貫遼寧瀋陽，中國短道速滑項目，男子運動員。

生涯
崔亮是中國短道速滑的一位新人，他先後於2003年的短道速滑加拿大分站世界杯的男子5000米接力賽贏得冠軍，同年在美國站世界杯得到接力賽的季軍。

2005年，崔亮於十運會取得男子個人1500米小項的銀牌、5000米接力小項取得銅牌，而在全能小項就只得到第4位。及後，崔亮於意大利和荷蘭分站的世界杯得到男子5000米接力賽的亞軍以及季軍。",崔亮 (短道速滑运动员)
Q1027335,"Ding Feng (; born March 19, 1987) is a Chinese sport shooter. He won a bronze medal at the 2012 Summer Olympics.

References

Category:1987 births
Category:Olympic shooters of China
Category:Chinese s",Ding Feng (sport shooter)
Q1027572,"Russell Nathan Jeanson Coltrane Martin, Jr. (born February 15, 1983) is a Canadian professional baseball catcher for the Toronto Blue Jays of Major League Baseball (MLB). He has previously played for ",Russell Martin
Q1028020,"Iñigo Martínez Berridi (; born 17 May 1991) is a Spanish footballer who plays for Real Sociedad mainly as a central defender.

Club career
Born in Ondarroa, Biscay, Martínez joined Real Sociedad's you",Iñigo Martínez
Q1028341,"Xu Xiaofei () (born March 7, 1982 in Henan, China), is a Chinese footballer who currently plays for Minami Club in the Shikoku Adult League.

Club career
Career in Japan
While Xu Xiaofei grew up in th",Xu Xiaofei
Q1029119,"Gabriel Abdala Zakuani (born 31 May 1986) is a Congolese professional footballer who plays for Peterborough United as a defender.

Zakuani began his career with Leyton Orient and was a vital member of",Gabriel Zakuani
Q1029139,"Ren Long (; born 21 December 1988) is a Chinese biathlete. He competed at the Biathlon World Championships 2011, 2012 and 2013. He competed at the 2014 Winter Olympics in Sochi, in the sprint and indi",Ren Long
Q1029204,"Fredua Buadee Benson Erchiah (born April 10, 1984 in AccraFred Benson (RKC Waalwijk)) is a Dutch-Ghanaian footballer who currently plays as a striker for Sheriff Tiraspol in the Moldovan National Divi",Fred Benson
Q1029664,"Dinara Mubinovna Safina (;  , born April 27, 1986 in Moscow) is a former World No. 1 Russian professional tennis player.

Safina was runner-up in singles at the 2008 French Open, 2009 Australian Open,",Dinara Safina
Q10321830,"智海（，），本名禹智海，韓國女歌手，也是女子組合的成員，隸屬於DreamTea Entertainment。在2010年7月9日以單曲《Girl's Day Party #1》正式出道。

J
J
J
J
J
J
J
J
J",智海
Q1032270,Ferdinand Zvonimir Maria Balthus Keith Michael Otto Antal Bahnam Leonhard Habsburg-LothringenThe Habsburgs' titles are not recognised anymore in Austria or in Hungary. (See Austrian nobility) (born 21,Ferdinand Zvonimir von Habsburg
Q1032597,"Luis Fernando Muriel Fruto (born 16 April 1991) is a Colombian striker. He currently plays for Serie A club Udinese.

He has been considered to be one of the most promising strikers in world football.",Luis Muriel
Q1032609,"George Louis Elliot Thorne (born 4 January 1993) is an English footballer who plays for Derby County, as a midfielder.

Club career

West Bromwich Albion
Born in Chatham, Thorne joined West Bromwich A",George Thorne (footballer)
Q10330911,"朱米樂(1984年8月24日－)，中國女子短道速滑運動員，籍貫吉林。

生涯
朱米樂是中國短道速滑隊中其中一位出色的運動員，她於2002年的世界青年錦標賽女子個人500米小項取得季軍，翌年在韓國站的短道速滑世界盃得到女子接力賽的亞軍，同年在加拿大的世界杯初得到3000米接力賽和女子個人500米的亞軍，並在全國短道速滑公開賽包辦女子賽事的所有金牌。

2005年，朱米樂在十運會為吉林取得女子3000",朱米樂
Q10334469,"Mário Lúcio da Silva Junior (Born 11 December 1989 in Dourados, Mato Grosso do Sul, Brazil), simply Mário Lúcio, is a Brazilian professional football player who currently plays for China League One si",Mário Lúcio
Q10337095,"李營(1978年4月8日－)，中國女子柔道運動員，出生於遼寧。

生涯
遼寧出生的李營在1993年時成為遼寧柔道隊一員，劉永福為她的教練。5年後，她取得晉身國家隊的機會，教練同是劉永福。

1998年，李營包辦全國錦標賽與全國冠軍賽的女子52公斤級小項的冠軍。同年的曼谷亞運，她在柔道項目中奪得女子52公斤級小項的金牌。

2003年，李營再奪全國錦標賽的第一。次年的全國錦標賽，她取得季軍。2005",李營
Q10337122,"李爭(1986年1月12日－)，中國男子舉重運動員，在廣西出生。

生涯
李爭在1997年於廣西的柳州地區業餘體育學校接受舉重訓練，兩年後，他轉至象縣體育學枚參與舉重訓練。2003年初，他仍為廣西舉重隊一員。同年年尾，他入選國家隊，教練是王國新。

2004年，李爭在山東濟南贏得了他個人的首個全國性錦標，當時他在全國錦標賽中的男子56公斤級小項以277.5公斤及較輕的體重壓過了同省的對手。同年11",李爭
Q1036269," (born March 10, 1981) is a Japanese actor.

Early life
Sugiura was born in Okayama, Japan. He has a brother, Takao (太雄), who is two years younger. Sugiura attended Neyagawa 1st Junior High School (Ne",Taiyo Sugiura
Q1036305,"卡丽莎·特纳（，），威爾斯女子羽毛球運動員。

簡歷
1996年，7歲的卡丽莎·特纳在母親朋友的建議下加入了珀納斯青年俱樂部（Penarth Juniors Club），自此開始打羽毛球；至10歲開始參加比賽，13歲時首次入選威爾斯代表隊。為了提高自己的羽毛球水平，她聘請了印尼選手Irwansyah作為私人教練。她在教練的指導下有顯著的進步，並開始在U15級別中贏得比賽。

2010年，特纳代表威",卡丽莎·特纳
Q1036386,"100px|thumb|right|Kaho's signature
 is a Japanese actress and fashion model. Her real name is not disclosed.

From 2004 to 2007, Kaho was the 11th Mitsui ReHouse Girl. She was given a Best New Talent ",Kaho (actress)
Q1036673,"浦野一美（うらの かずみ、）出生於日本埼玉縣，是日本女子偶像團體AKB48及SDN48的前成員。隸屬於經紀公司Production尾木。

 人物．經歷 
自我介紹詞是「喜歡我的人是內行人」「我是team B的大姐姐、CinDy浦野一美」。
現在的暱稱「CinDy」是因為崇拜灰姑娘的緣故。所以也很喜歡佩戴王冠，不論是在公演之中或是部落格的圖片都可以看到她戴著王冠的樣子。
原本是team A的初期成",浦野一美
Q1036977,"卡尔·巴克斯特（，），英格蘭男子羽毛球運動員。

2010年10月，巴克斯特代表英格蘭參加印度新德里舉行的英联邦运动会羽毛球比賽，協助球隊贏得混合團體銅牌。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽事
",卡尔·巴克斯特
Q1037223," (born , Tochigi Prefecture, Japan) is a Japanese actress and idol affiliated with Very Berry Production.

Koike started a junior Idol career with the DVD Big Brother at age 10, when she was in 4th gr",Rina Koike
Q1037233,"中西優香（，）是日本女性偶像團體SKE48 Team S的成員之一。愛知縣出身，隸屬於AKS事務所。

 來歷 
 2007年5月27日 - AKB48第4期研究生甄選合格的18人當中其中1人。
 2008年8月23日 - 在日比谷野外大音楽堂中舉辦的大概會出演唱會DVD、不過現場看機會有限！AKB48夏日祭！中發表移籍至SKE48。
 2008年8月26日 - 在AKB48的研究生公演中宣布從A",中西優香
Q1037264,"出口 陽（）是日本女性偶像團體「AKB48」第四期前研究生及「SKE48」Team S的前成員。三重縣松阪市出身，隸屬於ピタゴラス·プロモーション事務所。

 來歷 
 2007年5月27日 - AKB48第4期研究生甄選合格的18人當中其中1人。
 2007年11月26日 - 在向日葵組 1st Stage「我的太陽」公演中從AKB48卒業 http://ameblo.jp/akihabara4",出口陽
Q1037339,"[[File:JordanJamesSchaferAstro.JPG|200px|thumb|Schafer playing for the Houston Astros in 2012]]
Jordan James Schafer (born September 4, 1986) is an American professional baseball center fielder for th",Jordan Schafer
Q1037431,"Carl Demonte Crawford (born August 5, 1981), nicknamed ""The Perfect Storm"", is an American professional baseball  outfielder with the Los Angeles Dodgers of Major League Baseball (MLB). He bats and th",Carl Crawford
Q1037444,"Marvin Tomás Ávila (born 6 December 1985) is a Guatemalan football striker who plays for CSD Municipal.

He is also a member of the Guatemala national football team.

Club career
Nicknamed ""Titi Man"",",Marvin Ávila
Q1038579," is a Japanese pop female singer-songwriter currently signed on unBORDE Records, a division of Warner Music Group Japan.

 Biography 
Anri Kumaki started writing songs when she was 17 years old and wo",Anri Kumaki
Q1038888," is a Japanese shortstop with the Yomiuri Giants.

In , Sakamoto became the first player in Giants franchise history to start a season opener while under the age of 20 since Hideki Matsui. He is widel",Hayato Sakamoto
Q1039583," is a Japanese actress who is represented by the Japanese agency Amuse.

Career
Yoshitaka made her acting debut in 2006. She was given the lead role in the live-action adaptation of Hitomi Kanehara's ",Yuriko Yoshitaka
Q1039622," is a Japanese actress, model and TV personality who has had a number of supporting roles in films and television dramas.

On November 11, 2007, she married Yu Darvish. The two chose the 11/11 date, b",Saeko
Q1039639," is a Japanese actress. 

Career
Ikewaki was given a Best New Talent award at the 2000 Yokohama Film Festival for her performance in Osaka Story.  She appeared in Kiyoshi Kurosawa's 2012 television dr",Chizuru Ikewaki
Q1040019, is a Japanese actor and martial artist from Kanagawa Prefecture. He got his start in acting portraying Keigo Atobe in the Prince of Tennis musical The Imperial Presence Hyotei Gakuen as part of the H,Masahiro Inoue
Q1040452," (born October 11, 1990) is a Japanese singer-songwriter signed to Avex Trax. Born and raised in Osaka, Okumura started to write lyrics and compose music at the age of five after attending music compe",Hatsune Okumura
Q1040991," is a Japanese actress. She is part of the Box Corporation.

Filmography

Drama
Rich man, Poor women (2012) as Yoko Asahina
Kaseifu no Mita (2011) as Urara Yuuki
Rebound (2011) as Nobuko Oba
Wagaya no",Saki Aibu
Q1041007,"{{Infobox person
| image=
| name=Eri Sendai  
| image_size=
| birthname= 
| alias= 
| birth_date=
| birth_place=Tokyo, Japan 
| death_date= 
| death_place= 
| occupation=Voice actress
| yearsactive=19",Eri Sendai
Q1041015," is a Japanese actor who starred in Kwak Jae-young's film Cyborg Shehttp://www.cinematoday.jp/page/A0001773http://www.cinemacafe.net/news/cgi/interview/2008/05/4026/ and in Koizora.

Filmography

Film",Keisuke Koide
Q1041260,"西島 隆弘（）、日本的歌手、演員、舞蹈員。所屬公司AVEX，為團體AAA的成員兼主唱，於北海道札幌市出身。

來歷
北海道札幌工業高等學校
代表札幌Actors Studio的在2003年結成的5人組男子音樂團體「japs」的初代成員之一。
在2003年9月japs發行出道單曲「Precious Love／不停止」(CD+DVD)。
2003年AVEX舉辦的甄選會合格。
2004年2月參加了Act",西島隆弘
Q1041532,"Christopher Thomas Ray (born January 12, 1982) is a former American professional baseball pitcher.

Early life and career
Ray graduated from Hillsborough High School in Tampa, Florida,Home offers no r",Chris Ray
Q1041546," is a Japanese actor and voice actor.

Filmography

Film
Kirikou and the Sorceress as Kirikou (1998)
Spirited Away as Boh (2001)
Rokkazu as Young Taku (2003)
Odoru Daisosasen the Movie 2: Rainbow Brid",Ryunosuke Kamiki
Q1041554,"卡拉·尼尔特（，），德国女子羽毛球運動員。

簡歷
2013年8月，卡拉·尼尔特參加中國廣州舉行的世界羽毛球錦標賽，在比賽首日，她先與麦克斯·施文格尔出戰混合雙打項目，首圈就以0比2（9-21、14-21）負於韓國的金基正/鄭景銀出局；後再與伊莎贝尔·赫特里克出戰女子雙打項目，也在首圈以1比2（21-19、13-21、18-21）不敵保加利亞的加夫列拉·斯托伊娃/斯蒂法尼·斯托伊娃出局，完成所有賽",卡拉·尼尔特
Q1041708," is a Japanese actress and singer.

 History 
Nao was born in Ikoma, Nara on 8 February 1985 and grew up in Kawanishi, Hyōgo. Winning Japan's Elite Model Look started her modeling career in earnest. S",Nao Matsushita
Q1041719," is a Japanese voice actress and singer with RAMS/evolution.  She is from Saitama Prefecture, Japan.  She received training from the  and RAMS Professional Education. She made her debut as a voice act",Tomoe Ohmi
Q1041723," is a Japanese actress and idol.

Career
Uchiyama was first discovered in her hometown in Kanagawa Prefecture by the talent agency Sweet Power at the age of 15. She was signed up by the agency, and in",Rina Uchiyama
Q1041758," is a Japanese actress and model.

Around 2003, a video of her bathing at an onsen (hot spring) surfaced on the internet. It was taken with a hidden camera and is believed to have been a botched extor",Ai Kato
Q1041883," is a Japanese actress.

Biography
Minamisawa starred in Akai Ito. She appeared in Junji Sakamoto's 2010 film Strangers in the City.

Filmography

Film
 Walking My Life (2007)
 Akai Ito (2008)
 Yamaza",Nao Minamisawa
Q1041912," is a Japanese voice actor born in Ishikawa, Japan. Terashima graduated from Tokyo Announce Gakuin, voice training school. He had initially belonged to Holypeak until December 2008, and then to Produc",Takuma Terashima
Q1042452," is a Japanese idol, singer, actor and radio host. He is a member of Japanese male idol group Kanjani Eight, which is under the management of Johnny & Associates. He is also the group's bassist and on",Ryuhei Maruyama
Q1042498,"Hunter Easton Hayes (born September 9, 1991)Hunter Hayes Celebrates His 20th Birthday at House of Blues. Music News Nashville. September 14, 2011. Retrieved October 12, 2011. is an American country mu",Hunter Hayes
Q1042884," (born 10 February 1987) is a Japanese actor.

Career
When Ishida was fifteen, he auditioned in the Junon Superboy Contest for New Actors and won the Photogenic Award.  Acting agencies began expressin",Takuya Ishida
Q1042970," is an actress in Japan. She has won the Grand Prix award at the Super Heroine Audition Miss Phoenix in 2005.

Filmography

Dramas
  (2006)  - as Rieko Ishikawa (lead)
  (2008) - as Nanase Hida (Tanak",Misako Renbutsu
Q1043232,"Carlos Santos de Jesus (born 25 February 1985 in São Paulo, Brazil) is a Brasilian professional footballer. He is currently under contract with Zob Ahan.  He gained Croatian nationality in October 200",Carlos Santos de Jesus
Q1044210,"卡罗拉·鲍特（，），德国女子羽毛球運動員。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽事
!width=""80""|項目
!width=""150""|拍檔
!width=""50""|成績
|-
!rowspan",卡罗拉·鲍特
Q1044244,"Carola Malvina López (born 17 April 1982) is an Argentine taekwondo practitioner. At the 2012 Summer Olympics, she competed in the Women's 49kg competition, but was defeated in the quarter finals.

Re",Carola López
Q104454,"Mario Götze (; born 3 June 1992) is a German footballer who plays as an attacking midfielder for Bayern Munich in the German Bundesliga. In addition to his favoured role as a number 10, Götze is capab",Mario Götze
Q1044583,"Caroline Weber (born 31 May 1986 in Dornbirn) is an Austrian rhythmic gymnast.

 Career 

Weber competed at the 2008 Summer Olympics in Beijing, China, she placed 17th in qualifications and did not ad",Caroline Weber
Q1044896," is a Nippon Professional Baseball player. He is currently with the Hiroshima Toyo Carp.

In August 2010, Masato made sports headlines by denying batter Shuichi Murata a home run with what sportswrite",Masato Akamatsu
Q1045223,,浦田直也
Q1045863,"Aaron Walter Hill (born March 21, 1982) is an American professional baseball second baseman for the Arizona Diamondbacks of Major League Baseball. Hill was drafted by the Toronto Blue Jays in the firs",Aaron Hill (baseball)
Q1045949," 

Jered David Weaver (born October 4, 1982) is an American professional baseball starting pitcher for the Los Angeles Angels of Anaheim of Major League Baseball. Weaver was drafted in the first round",Jered Weaver
Q1046147,"Jonathan Roy Broxton (born June 16, 1984) is an American professional baseball relief pitcher for the Milwaukee Brewers of Major League Baseball (MLB). He previously played for the Los Angeles Dodgers",Jonathan Broxton
Q1046180,"Ian Michael Kinsler (born June 22, 1982) is an American professional baseball second baseman for the Detroit Tigers of Major League Baseball. He formerly played for the Texas Rangers. He is listed at ",Ian Kinsler
Q1046188,"Christopher Lyn ""Chris"" Davis (born March 17, 1986), nicknamed ""Crush Davis"",  is an American professional baseball first baseman with the Baltimore Orioles of Major League Baseball (MLB). He stands  ",Chris Davis (baseball)
Q1046881," is a Japanese singer, voice actress, fashion model, and former child actress. Her debut album  was released on July 21, 2010. The album charted at No.100 on the Oricon album charts. She is currently ",Mana Ogawa
Q1046966," is a Japanese actress. Higa's mother was a model. She graduated from Okinawa Prefectural Central High School. She got famous as an actress when she was selected in an audition of 2,156 people to star",Manami Higa
Q1046994," is a female Japanese voice actress and singer from Yamaguchi, Japan. She works for Production Baobab.

 Filmography 

 Anime 

2007
 Kimikiss Pure Rouge as Manami Hiba

2008
 Bleach as Menoly Mallia
",Hitomi Harada
Q1047188,"Casey Gardner Jacobsen (born March 19, 1981) is a retired American professional basketball player. He had an extensive European basketball career, mostly playing for Brose Baskets. There he won the Ge",Casey Jacobsen
Q1047474,"Brendon Boyd Urie (known professionally as Brendon Urie) (born April 12, 1987) is an American singer-songwriter, musician, guitarist, and pianist, best known as the lead vocalist of Panic! at the Disc",Brendon Urie
Q10479,"Catherine, Duchess of Cambridge (Catherine Elizabeth ""Kate""; née Middleton; born 9 January 1982), is the wife of Prince William, Duke of Cambridge. Following his father Charles, Prince of Wales, Willi","Catherine, Duchess of Cambridge"
Q1048397,"Chrissie Chau (born 22 May 1985 in Chaozhou, Guangdong) is a Chinese actress and celebrity model from Hong Kong. Chau achieved widespread fame after the release of her portrait albums in 2009 and 2010",Chrissie Chau
Q1048875,", born November 18, 1984, is a Japanese singer from Sapporo, Japan. He rose to fame as a member of a Japanese pop group w-inds. as the group's back-up dancer, back-up vocal, and rapper.

Early life
Ch",Ryohei Chiba
Q1049059,"George Jan Boyd (born 2 October 1985) is a professional footballer who plays as a Winger for Premier League side Burnley.

Boyd started his career in the Charlton Athletic youth system, joining Steven",George Boyd (footballer)
Q1049085,"Yu Hanchao (; born 25 February 1987) is a Chinese footballer who currently plays for Guangzhou Evergrande in the Chinese Super League.

Club career
Yu Hanchao started his football career in 2005 with ",Yu Hanchao
Q1049132,"古川愛李（），是日本女性偶像團體SKE48Team KII的成員之一。愛知縣出身。

 經歷 
 2004年
 9月，和AKB48中的梅田彩佳一樣，曾參加早安少女組幸運7期徵選會，只晉級到第二次甄選。

 2005年
 2月，再次參加早安少女組於2005年的徵選會。雖然成功到達第三次審查，但是落選了。(參與中學生日記的演出)

 2006年
 6月，參加了愛貝克思的選拔活動『avex auditi",古川愛李
Q1049695,"提亞·田中（，）是美国的专业的色情片女演员，她父亲是越南人，母亲则是法越混血儿。 

简介
Tia Tanaka出生于印尼，一岁时就随着父母移民到美国。首先居住在纽约，随后搬到洛杉矶。

念高中的时候，因受到金钱的诱惑，再加上好友Kitty Jung的邀请，于是决定拍色情片。由于甜美的脸孔及娇小的身躯，所以她通常都会被安排与一些大阴茎的男主角床戏。

2006年考上加利福尼亚大学，主修心理学。20",提亞·田中
Q1049715," 

Daniel Paul Bard (born June 25, 1985) is an American professional baseball pitcher who is currently a free agent. He made his MLB debut with the Boston Red Sox in May 2009.

College career
At the m",Daniel Bard
Q1049830,"Pauline Grace Maguy Ducruet (born 4 May 1994) is a member of Princely House of Grimaldi. She is the elder daughter of Princess Stéphanie of Monaco. Her maternal grandmother is Grace Kelly, her uncle i",Pauline Ducruet
Q1049946,"Kana Oyama (大山 加奈 Ōyama Kana , born June 19, 1984) is a Japanese volleyball player who plays for Toray Arrows.
She competed at the 2004 Summer Olympics in Athens, Greece, wearing the #13 jersey. There",Kana Oyama
Q1050085,"Mako (sometimes stylised MAKO), is a mononym of Japanese female voice actress/ singer  is a member of the band Bon-Bon Blanco, in which her prominent role is as the maraca player.  She has also perfor",Mako (voice actress)
